"","control_rep1","control_rep2","treated_rep1","treated_rep2"
"Gene1",18,18,10,18
"Gene2",10,3,7,8
"Gene3",10,6,10,17
"Gene4",25,5,18,16
"Gene5",24,6,11,16
"Gene6",7,9,17,11
"Gene7",19,18,7,6
"Gene8",16,15,13,20
"Gene9",7,8,10,11
"Gene10",28,10,14,7
"Gene11",14,12,13,12
"Gene12",7,16,10,10
"Gene13",7,16,12,13
"Gene14",17,9,4,16
"Gene15",7,16,21,19
"Gene16",8,16,22,8
"Gene17",10,16,6,7
"Gene18",10,3,7,6
"Gene19",6,13,30,22
"Gene20",8,17,12,20
"Gene21",12,10,20,9
"Gene22",10,15,8,12
"Gene23",15,9,8,9
"Gene24",14,9,27,24
"Gene25",7,12,15,7
"Gene26",16,10,11,9
"Gene27",17,9,13,7
"Gene28",8,17,7,9
"Gene29",22,7,7,14
"Gene30",5,13,20,10
"Gene31",17,14,11,9
"Gene32",19,7,11,9
"Gene33",17,23,4,14
"Gene34",8,12,7,11
"Gene35",10,15,21,13
"Gene36",9,11,11,11
"Gene37",8,38,11,12
"Gene38",19,10,15,18
"Gene39",10,9,24,6
"Gene40",15,7,19,10
"Gene41",9,11,10,11
"Gene42",21,10,8,26
"Gene43",7,12,14,34
"Gene44",7,7,22,5
"Gene45",16,12,17,12
"Gene46",14,18,13,17
"Gene47",15,20,4,15
"Gene48",6,5,12,24
"Gene49",5,17,15,4
"Gene50",11,26,13,17
"Gene51",9,4,13,4
"Gene52",10,4,12,11
"Gene53",11,8,7,17
"Gene54",13,9,15,15
"Gene55",18,19,12,13
"Gene56",6,21,11,5
"Gene57",8,11,9,12
"Gene58",20,10,14,20
"Gene59",9,18,8,13
"Gene60",6,13,15,6
"Gene61",5,9,11,7
"Gene62",5,8,15,21
"Gene63",27,8,7,15
"Gene64",12,10,7,15
"Gene65",18,4,15,12
"Gene66",13,19,8,12
"Gene67",9,2,9,5
"Gene68",24,11,13,6
"Gene69",9,11,8,16
"Gene70",14,14,22,18
"Gene71",11,12,19,12
"Gene72",15,12,9,15
"Gene73",9,23,8,7
"Gene74",13,13,16,8
"Gene75",17,13,8,17
"Gene76",7,7,5,12
"Gene77",6,16,8,10
"Gene78",18,12,18,8
"Gene79",8,12,7,12
"Gene80",13,17,8,13
"Gene81",5,4,2,16
"Gene82",13,19,8,8
"Gene83",10,8,5,7
"Gene84",13,9,14,24
"Gene85",14,12,28,22
"Gene86",12,16,10,11
"Gene87",4,8,11,14
"Gene88",14,18,18,12
"Gene89",16,7,9,24
"Gene90",20,12,10,8
"Gene91",7,12,9,25
"Gene92",8,8,7,16
"Gene93",5,8,13,14
"Gene94",11,10,14,9
"Gene95",5,18,11,14
"Gene96",5,15,8,23
"Gene97",6,13,13,8
"Gene98",7,6,6,12
"Gene99",18,24,4,20
"Gene100",3,5,22,14
"Gene101",16,2,10,11
"Gene102",37,15,17,17
"Gene103",13,6,14,14
"Gene104",6,7,19,5
"Gene105",10,12,4,18
"Gene106",4,10,6,7
"Gene107",8,6,17,18
"Gene108",26,26,8,12
"Gene109",3,17,9,13
"Gene110",13,8,12,17
"Gene111",30,4,17,20
"Gene112",23,11,5,16
